timestamp,http_success_rate,p50_latency,p90_latency,p95_latency,p99_latency,fallback_ratio,error_rate,error_rate_4xx,error_rate_5xx,cpu_percent,rss_mb,request_rate,fallback_total,effective_fallback_total,fallback_http,fallback_message,fallback_cache,http_adapter_ops,message_bus_rpc_attempts,cache_get_attempts,fb_http_ratio,fb_message_ratio,fb_cache_ratio,plugin_reload_success,plugin_reload_failure,snapshot_create_success,snapshot_create_failure,snapshot_restore_success,snapshot_restore_failure,effective_fallback_ratio,sample_num
2025-11-24 13:46:50,0.99,0.2,0.3,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-11-24 13:46:57,0.99,0.2,0.3,0.4,0.5,0,0,0,0,0,0,34.2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2025-11-24 13:47:04,0.99,0.2,0.3,0.4,0.5,0,0,0,0,0,0,44.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
