timestamp,http_success_rate,p50_latency,p95_latency,p99_latency,fallback_ratio,error_rate,cpu_percent,mem_percent,request_rate,fallback_total,fallback_http,fallback_message,fallback_cache,sample_num
2025-11-22 16:38:06,0.99,0.2,0.4,0.5,0.05,0,0,0,0,0,,,,1
2025-11-22 16:38:07,0.99,0.2,0.4,0.5,0.05,0,0,0,0,0,,,,2
