timestamp,http_success_rate,p50_latency,p95_latency,p99_latency,fallback_ratio,error_rate,cpu_percent,mem_percent,request_rate,fallback_total,fallback_http,fallback_message,fallback_cache,http_adapter_ops,message_bus_rpc_attempts,cache_get_attempts,sample_num
2025-11-24 08:48:01,0.99,0.2,0.4,0.5,0,0,1.1,0,0,1,0,0,1,2,3,1,1
2025-11-24 08:48:02,0.99,0.2,0.4,0.5,0,0,0.7,0,0,1,0,0,1,2,3,1,2
