timestamp,http_success_rate,p50_latency,p90_latency,p95_latency,p99_latency,fallback_ratio,error_rate,cpu_percent,rss_mb,request_rate,fallback_total,fallback_http,fallback_message,fallback_cache,http_adapter_ops,message_bus_rpc_attempts,cache_get_attempts,fb_http_ratio,fb_message_ratio,fb_cache_ratio,sample_num
2025-11-24 08:51:11,0.99,0.2,0.3,0.4,0.5,0,0,1.2,48.34,0,1,0,0,1,2,3,1,0,0,1.000000,1
2025-11-24 08:51:12,0.99,0.2,0.3,0.4,0.5,0,0,0.6,48.98,0,1,0,0,1,2,3,1,0,0,1.000000,2
