ts,ms,status
2025-11-20T10:58:07+08:00,41,200
2025-11-20T10:58:07+08:00,40,200
2025-11-20T10:58:08+08:00,38,200
2025-11-20T10:58:08+08:00,41,200
2025-11-20T10:58:08+08:00,38,200
2025-11-20T10:58:08+08:00,41,200
2025-11-20T10:58:09+08:00,38,200
2025-11-20T10:58:09+08:00,38,200
2025-11-20T10:58:09+08:00,37,200
2025-11-20T10:58:10+08:00,39,200
2025-11-20T10:58:10+08:00,38,200
2025-11-20T10:58:10+08:00,38,200
2025-11-20T10:58:10+08:00,37,200
2025-11-20T10:58:11+08:00,39,200
2025-11-20T10:58:11+08:00,40,200
2025-11-20T10:58:11+08:00,39,200
2025-11-20T10:58:11+08:00,38,200
2025-11-20T10:58:12+08:00,37,200
2025-11-20T10:58:12+08:00,36,200
2025-11-20T10:58:12+08:00,37,200
2025-11-20T10:58:12+08:00,37,200
2025-11-20T10:58:13+08:00,39,200
2025-11-20T10:58:13+08:00,37,200
2025-11-20T10:58:13+08:00,37,200
2025-11-20T10:58:14+08:00,36,200
2025-11-20T10:58:14+08:00,37,200
2025-11-20T10:58:14+08:00,36,200
2025-11-20T10:58:14+08:00,37,200
2025-11-20T10:58:15+08:00,37,200
2025-11-20T10:58:15+08:00,37,200
2025-11-20T10:58:15+08:00,39,200
2025-11-20T10:58:15+08:00,38,200
2025-11-20T10:58:16+08:00,37,200
2025-11-20T10:58:16+08:00,37,200
2025-11-20T10:58:16+08:00,37,200
2025-11-20T10:58:17+08:00,36,200
2025-11-20T10:58:17+08:00,37,200
2025-11-20T10:58:17+08:00,37,200
2025-11-20T10:58:17+08:00,39,200
2025-11-20T10:58:18+08:00,40,200
2025-11-20T10:58:18+08:00,40,200
2025-11-20T10:58:18+08:00,38,200
2025-11-20T10:58:18+08:00,38,200
2025-11-20T10:58:19+08:00,38,200
2025-11-20T10:58:19+08:00,39,200
2025-11-20T10:58:19+08:00,39,200
2025-11-20T10:58:20+08:00,35,200
2025-11-20T10:58:20+08:00,37,200
2025-11-20T10:58:20+08:00,37,200
2025-11-20T10:58:20+08:00,36,200
2025-11-20T10:58:21+08:00,39,200
2025-11-20T10:58:21+08:00,38,200
2025-11-20T10:58:21+08:00,39,200
2025-11-20T10:58:21+08:00,37,200
2025-11-20T10:58:22+08:00,37,200
2025-11-20T10:58:22+08:00,38,200
2025-11-20T10:58:22+08:00,37,200
2025-11-20T10:58:23+08:00,37,200
2025-11-20T10:58:23+08:00,37,200
2025-11-20T10:58:23+08:00,37,200
