ts,ms,status
2025-11-20T19:41:11+08:00,40,200
2025-11-20T19:41:11+08:00,38,200
2025-11-20T19:41:11+08:00,38,200
2025-11-20T19:41:11+08:00,38,200
2025-11-20T19:41:12+08:00,37,200
2025-11-20T19:41:12+08:00,40,200
2025-11-20T19:41:12+08:00,36,200
2025-11-20T19:41:13+08:00,42,200
2025-11-20T19:41:13+08:00,39,200
2025-11-20T19:41:13+08:00,45,200
2025-11-20T19:41:13+08:00,47,200
2025-11-20T19:41:14+08:00,38,200
2025-11-20T19:41:14+08:00,41,200
2025-11-20T19:41:14+08:00,38,200
2025-11-20T19:41:14+08:00,38,200
2025-11-20T19:41:15+08:00,42,200
2025-11-20T19:41:15+08:00,37,200
2025-11-20T19:41:15+08:00,39,200
2025-11-20T19:41:16+08:00,41,200
2025-11-20T19:41:16+08:00,38,200
2025-11-20T19:41:16+08:00,38,200
2025-11-20T19:41:16+08:00,38,200
2025-11-20T19:41:17+08:00,38,200
2025-11-20T19:41:17+08:00,36,200
2025-11-20T19:41:17+08:00,43,200
2025-11-20T19:41:17+08:00,41,200
2025-11-20T19:41:18+08:00,38,200
2025-11-20T19:41:18+08:00,38,200
2025-11-20T19:41:18+08:00,39,200
2025-11-20T19:41:19+08:00,36,200
2025-11-20T19:41:19+08:00,38,200
2025-11-20T19:41:19+08:00,39,200
2025-11-20T19:41:19+08:00,37,200
2025-11-20T19:41:20+08:00,38,200
2025-11-20T19:41:20+08:00,37,200
2025-11-20T19:41:20+08:00,38,200
2025-11-20T19:41:20+08:00,34,200
2025-11-20T19:41:21+08:00,39,200
2025-11-20T19:41:21+08:00,35,200
2025-11-20T19:41:21+08:00,41,200
2025-11-20T19:41:22+08:00,37,200
2025-11-20T19:41:22+08:00,37,200
2025-11-20T19:41:22+08:00,38,200
2025-11-20T19:41:22+08:00,38,200
2025-11-20T19:41:23+08:00,37,200
2025-11-20T19:41:23+08:00,37,200
2025-11-20T19:41:23+08:00,38,200
2025-11-20T19:41:23+08:00,37,200
2025-11-20T19:41:24+08:00,37,200
2025-11-20T19:41:24+08:00,37,200
2025-11-20T19:41:24+08:00,37,200
2025-11-20T19:41:25+08:00,38,200
2025-11-20T19:41:25+08:00,39,200
2025-11-20T19:41:25+08:00,39,200
2025-11-20T19:41:25+08:00,37,200
2025-11-20T19:41:26+08:00,37,200
2025-11-20T19:41:26+08:00,54,200
2025-11-20T19:41:26+08:00,37,200
2025-11-20T19:41:26+08:00,38,200
2025-11-20T19:41:27+08:00,38,200
