ts,ms,status
2025-11-21T17:21:02+08:00,49,500
2025-11-21T17:21:02+08:00,35,500
2025-11-21T17:21:02+08:00,34,500
2025-11-21T17:21:03+08:00,35,500
2025-11-21T17:21:03+08:00,36,500
2025-11-21T17:21:03+08:00,34,500
2025-11-21T17:21:03+08:00,39,500
2025-11-21T17:21:04+08:00,35,500
2025-11-21T17:21:04+08:00,36,500
2025-11-21T17:21:04+08:00,36,500
2025-11-21T17:21:05+08:00,37,500
2025-11-21T17:21:05+08:00,35,500
2025-11-21T17:21:05+08:00,35,500
2025-11-21T17:21:05+08:00,38,500
2025-11-21T17:21:06+08:00,35,500
2025-11-21T17:21:06+08:00,41,500
2025-11-21T17:21:06+08:00,42,500
2025-11-21T17:21:06+08:00,39,500
2025-11-21T17:21:07+08:00,38,500
2025-11-21T17:21:07+08:00,34,500
2025-11-21T17:21:07+08:00,35,500
2025-11-21T17:21:08+08:00,37,500
2025-11-21T17:21:08+08:00,34,500
2025-11-21T17:21:08+08:00,34,500
2025-11-21T17:21:08+08:00,33,500
2025-11-21T17:21:09+08:00,35,500
2025-11-21T17:21:09+08:00,35,500
2025-11-21T17:21:09+08:00,35,500
2025-11-21T17:21:09+08:00,36,500
2025-11-21T17:21:10+08:00,35,500
2025-11-21T17:21:10+08:00,35,500
2025-11-21T17:21:10+08:00,35,500
2025-11-21T17:21:10+08:00,38,500
2025-11-21T17:21:11+08:00,37,500
2025-11-21T17:21:11+08:00,34,500
2025-11-21T17:21:11+08:00,35,500
2025-11-21T17:21:12+08:00,37,500
2025-11-21T17:21:12+08:00,34,500
2025-11-21T17:21:12+08:00,34,500
2025-11-21T17:21:12+08:00,33,500
2025-11-21T17:21:13+08:00,33,500
2025-11-21T17:21:13+08:00,36,500
2025-11-21T17:21:13+08:00,54,500
2025-11-21T17:21:14+08:00,40,500
2025-11-21T17:21:14+08:00,36,500
2025-11-21T17:21:14+08:00,35,500
2025-11-21T17:21:14+08:00,35,500
2025-11-21T17:21:15+08:00,35,500
2025-11-21T17:21:15+08:00,35,500
2025-11-21T17:21:15+08:00,33,500
2025-11-21T17:21:15+08:00,34,500
2025-11-21T17:21:16+08:00,34,500
2025-11-21T17:21:16+08:00,63,500
2025-11-21T17:21:16+08:00,46,500
2025-11-21T17:21:17+08:00,81,500
2025-11-21T17:21:17+08:00,45,500
2025-11-21T17:21:17+08:00,39,500
2025-11-21T17:21:17+08:00,39,500
2025-11-21T17:21:18+08:00,53,500
2025-11-21T17:21:18+08:00,49,500
