ts,ms,status
2025-11-20T08:22:18+08:00,33,500
2025-11-20T08:22:19+08:00,35,500
2025-11-20T08:22:20+08:00,34,500
2025-11-20T08:22:21+08:00,33,500
2025-11-20T08:22:22+08:00,33,500
2025-11-20T08:22:23+08:00,35,500
2025-11-20T08:22:24+08:00,34,500
2025-11-20T08:22:25+08:00,34,500
2025-11-20T08:22:26+08:00,34,500
2025-11-20T08:22:27+08:00,34,500
2025-11-20T08:22:28+08:00,34,500
2025-11-20T08:22:29+08:00,34,500
2025-11-20T08:22:30+08:00,33,500
2025-11-20T08:22:31+08:00,34,500
2025-11-20T08:22:32+08:00,34,500
2025-11-20T08:22:34+08:00,32,500
2025-11-20T08:22:35+08:00,34,500
2025-11-20T08:22:36+08:00,32,500
2025-11-20T08:22:37+08:00,34,500
2025-11-20T08:22:38+08:00,32,500
2025-11-20T08:22:39+08:00,32,500
2025-11-20T08:22:40+08:00,33,500
2025-11-20T08:22:41+08:00,32,500
2025-11-20T08:22:42+08:00,35,500
2025-11-20T08:22:43+08:00,33,500
2025-11-20T08:22:44+08:00,33,500
2025-11-20T08:22:45+08:00,34,500
2025-11-20T08:22:46+08:00,34,500
2025-11-20T08:22:47+08:00,33,500
2025-11-20T08:22:48+08:00,34,500
2025-11-20T08:22:50+08:00,34,500
2025-11-20T08:22:51+08:00,36,500
2025-11-20T08:22:52+08:00,34,500
2025-11-20T08:22:53+08:00,33,500
2025-11-20T08:22:54+08:00,35,500
2025-11-20T08:22:55+08:00,33,500
2025-11-20T08:22:56+08:00,34,500
2025-11-20T08:22:57+08:00,33,500
2025-11-20T08:22:58+08:00,33,500
2025-11-20T08:22:59+08:00,35,500
2025-11-20T08:23:00+08:00,33,500
2025-11-20T08:23:01+08:00,32,500
2025-11-20T08:23:02+08:00,33,500
2025-11-20T08:23:03+08:00,37,500
2025-11-20T08:23:04+08:00,33,500
2025-11-20T08:23:06+08:00,33,500
2025-11-20T08:23:07+08:00,37,500
2025-11-20T08:23:08+08:00,33,500
2025-11-20T08:23:09+08:00,34,500
2025-11-20T08:23:10+08:00,34,500
2025-11-20T08:23:11+08:00,34,500
2025-11-20T08:23:12+08:00,32,500
2025-11-20T08:23:13+08:00,35,500
2025-11-20T08:23:14+08:00,37,500
2025-11-20T08:23:15+08:00,36,500
2025-11-20T08:23:16+08:00,37,500
2025-11-20T08:23:17+08:00,34,500
2025-11-20T08:23:18+08:00,36,500
2025-11-20T08:23:19+08:00,33,500
2025-11-20T08:23:21+08:00,36,500
